examID,quesID,ques_title,ans_choice1,ans_choice2,ans_choice3,ans_choice4,ans_correct
et4310_shortEx01,et4310_shortEx01_01,Đặc điểm của hệ thống thông tin sợi quang so với hệ thống thông tin vi ba số và vệ tinh,Băng thông rộng nhất và khoảng cách truyền dẫn xa nhất,Dung lượng lớn nhất và chất lượng truyền dẫn tín hiệu cao nhất,Tính bảo mật cao nhất và thích hợp với thông tin quảng bá,Tất cả đều đúng,Tất cả đều đúng
et4310_shortEx01,et4310_shortEx01_02,Các loại sợi quang tiêu biểu có các đặc điểm sau:,Tổn hao do ion hydroxyl (OH) hấp thụ là một trong các tổn hao chủ yếu,Sợi quang đa mode có dung lượng lớn hơn sợi đơn mode vì nó có nhiều mode truyềnánh sáng hơn,"Trong sợi đơn mode, tán sắc mode lớn hơn nhiều so với loại tán sắc khác của nó",Tất cả đều đúng,Tất cả đều đúng
et4310_shortEx01,et4310_shortEx01_03,Hai đặc điểm của sợi quang được quan tâm nhất khi thiết kế hệ thống là,Giá thành và tính bảo mật,Độ rộng băng tần và trọng lượng,Tán sắc và tổn hao công suất quang,Độ rộng băng tần và tổn hao trên sợi quang,Độ rộng băng tần và tổn hao trên sợi quang
et4310_shortEx01,et4310_shortEx01_04,Cửa sổ quang 1550nm là vùng bước sóng ánh sáng có tính chất sau đây,Tán sắc bé nhất,Suy hao bé nhất,Tán sắc và suy hao bé nhất,"Tất cả các câu trả lời a, b, c đều đúng","Tất cả các câu trả lời a, b, c đều đúng"
et4310_shortEx01,et4310_shortEx01_05,Suy hao và tán sắc trong sợi quang ảnh hưởng đến chất lượng truyền dẫn tín hiệu như sau,Suy hao làm giảm tốc độ bít truyền dẫn,Tán sắc làm giảm nghiêm trọng khoảng cách giữa hai trạm trung gian,Tán sắc làm tăng tỉ lệ lỗi bit (BER),Suy hao làm giảm băng thông của tín hiệu truyền,Suy hao làm giảm băng thông của tín hiệu truyền
et4310_shortEx01,et4310_shortEx01_06,"Laser, Led phát mặt, Led phát cạnh có các đặc tính như sau:",Laser có công suất phát lớn nhất và phát ra ánh sáng không kết hợp,Led phát cạnh và Laser đều tạo ánh sáng dựa vào nguyên lý phát xạ kích thích,"Laser có độ rộng đường phổ hẹp và nhạy với nhiệt độ nhiều hơn so với Led phát mặt,Led phát cạnh",Led phát mặt có công suất phát tương đương Laser nhưng giá thành cao hơn,Led phát mặt có công suất phát tương đương Laser nhưng giá thành cao hơn
et4310_shortEx01,et4310_shortEx01_07,Laser cổ điển và Laser hồi tiếp phân bố (DFB) có những tính chất như sau:,Laser DFB có nhiều mode dọc hơn so với Laser cổ điển,Laser DFB hoạt động với tốc độ bít lớn hơn so với Laser cổ điển,Cả hai đều có cấu trúc phản xạ Bragg,"Cả ba câu trả lời a, b, c đều sai","Cả ba câu trả lời a, b, c đều sai"
et4310_shortEx01,et4310_shortEx01_08,Photodiode PIN và Photodiode APD có các đặc tính như sau:,Photodiode PIN hoạt động dựa trên nguyên lý hiệu ứng quang điện còn APD dựa trênhiệu ứng cảm nhiệt và cơ chế khuếch đại dòng điện.,Cả hai photodiode PIN và APD đều được phân cực nghịch để tạo ra vùng nghèo,Photodiode PIN có điện áp cung cấp thấp hơn so với Photodiode APD nhưng bị ảnhhưởng bởi sự thay đổi điện áp cung cấp nhiều hơn,Cả hai câu b và c đều đúng,Cả hai câu b và c đều đúng
et4310_shortEx01,et4310_shortEx01_09,Các thông số nào cần phải biết khi thiết kế hệ thống thông tin sợi quang:,Khoảng cách truyền dẫn và suy hao trên sợi quang,Tốc độ bít và tỉ lệ lỗi bít (BER),Tỉ số tín hiệu trên nhiễu và độ nhạy của máy thu,Tất cả ý trên,Tất cả ý trên
et4310_shortEx01,et4310_shortEx01_10,Độ nhạy của máy thu có các đặc điểm như sau,Là công suất tối ưu đến máy thu sao cho nó đạt được giá trị BER cho trước,Độ nhạy của một máy thu khác nhau tương ứng với tốc độ bít truyền khác nhau,Độ nhạy của một máy thu thay đổi tỉ lệ thuận với BER yêu cầu,"Các câu trả lời a, b đều đúng","Các câu trả lời a, b đều đúng"
et4310_shortEx01,et4310_shortEx01_11,Khẩu độ số NA có các đặc điểm như sau,NA liên quan đến hiệu suất ghép nối giữa sợi quang và máy thu,NA càng lớn thì góc nhận ánh sáng càng lớn,NA tỉ lệ nghịch với chiết suất n1 của lõi sợi,"Tất cả các câu trả lời a, b, c đều đúng","Tất cả các câu trả lời a, b, c đều đúng"
et4310_shortEx01,et4310_shortEx01_12,Các loại sợi quang tiêu biểu có các đặc điểm sau:,Sợi quang đa mode chiết suất phân bậc (MM-SI) có độ giãn nở xung nhỏ hơn sợiquang đa mode chiết suất thay đổi đều (MM-GI),Cả hai loại sợi MM-SI và MM-GI đều có chiết suất lõi nhỏ hơn chiết suất võ sợi,Sợi quang đơn mode SM cho khoảng cách truyền dẫn xa nhất so với 2 loại sợi đamode nếu cùng công suất máy phát và cùng một bước sóng làm việc,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_shortEx01,et4310_shortEx01_13,Truyền dẫn quang trong sợi quang có đặc điểm như sau,Dựa vào hiện tượng phản xạ toàn phần với góc của tia tới lớn hơn góc tới hạn,Ánh sáng đi từ môi trường có chiết suất thấp đến môi trường có chiết suất cao hơn,Góc nhận ánh sáng đến sợi quang phải lớn hơn góc nhận maxθ trong đó sinmaxθ =NA,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_shortEx01,et4310_shortEx01_14,"Trong tính toán thiết kế tuyến, công suất dự phòng có ý nghĩa như sau",Dự phòng cho sự gia tăng tổn hao không tính toán hết được,Dự phòng cho sự già cỗi của các thành phần chủ yếu cấu tạo nên tuyến,Khả năng dự phòng tuỳ thuộc vào công suất của nguồn phát,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_shortEx01,et4310_shortEx01_15,Cấu trúc dị thể là cấu trúc được tạo bởi:,Hai vật liệu có vùng cấm (Bandgap) bằng nhau,Hai vật liệu có vùng cấm khác nhau,Hai vật liệu có vùng cấm gián tiếp (Indirect Bandgap),Hai vật liệu có vùng cấm trực tiếp (Direct Bandgap),Hai vật liệu có vùng cấm trực tiếp (Direct Bandgap)
et4310_shortEx01,et4310_shortEx01_16,Các vùng bước sóng được sử dụng trong thông tin sợi quang lần lượt theo thời gian là,"800nm, 1550nm, 1300nm","1300nm, 1550nm, 800nm","1330nm, 800nm, 1550nm","800nm, 1300nm, 1550nm","800nm, 1300nm, 1550nm"
et4310_shortEx01,et4310_shortEx01_17,Sợi quang sử dụng ánh sáng trong vùng bước sóng 1330nm đặc điểm như sau,Tán sắc bé nhất,Suy hao bé nhất,Tán sắc và suy hao bé nhất,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
et4310_shortEx01,et4310_shortEx01_18,Cấu trúc dị thể kép có đặc điểm:,Có khả năng giam các hạt mang (điện tử và lỗ trống),Được sử dụng trong Laser nhưng không được sử dụng trong LED,Là cơ sở để tạo ra điều kiện phát xạ kích thích,"Cả 3 câu a, b, c đều đúng","Cả 3 câu a, b, c đều đúng"
